Treadclimber,CAM29865 SAWADHERETC,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74743354,Online,Call Center Internal
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74846997,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847095,Online Search,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847096,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847097,Online Shopping,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847195,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847196,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847295,Online Search,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847297,Online Shopping,Web
Bowflex Revolution,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847395,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74847495,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM52189 ION*N60*M450STIC,TouchPoint Integrated Communications,10/1/2017,10/1/2017,9/25/2017,74847595,Short Form,Call Center Internal
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847598,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847599,Online Shopping,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847600,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847601,Online Search,Web
Treadclimber,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847602,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847698,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847797,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847798,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847897,Online Search,Web
Bowflex Catalog,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847898,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847899,Online Search,Web
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,Internal,10/1/2017,10/1/2017,9/25/2017,74847997,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74847999,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74848100,Online Shopping,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74848102,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74848103,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74848104,Electronic - UnSourced,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74848299,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74848300,Online Search,Web
Treadclimber,CAM28157 SALESFOLLOWUP,Internal,,10/1/2017,9/25/2017,74848399,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,Internal,,10/1/2017,9/25/2017,74848400,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74848501,Online Search,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74848601,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74848602,Electronic - UnSourced,Web
Bowflex HVT,CAM51286 DODAMBHDL1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74848701,Online Display,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74848801,Online Shopping,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,10/1/2017,10/1/2017,9/25/2017,74848803,Electronic - Short Form,Web
Treadclimber,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74848901,Online Shopping,Web
Bowflex Home Gyms,CAM30755 dosg2gsl1,TouchPoint Integrated Communications,10/1/2017,10/1/2017,9/25/2017,74849002,Online Search,Web
Bowflex Max Trainer,CAM52189 ION*N60*M450STIC,TouchPoint Integrated Communications,10/1/2017,10/1/2017,9/25/2017,74849102,Short Form,Call Center Internal
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,10/1/2017,10/1/2017,9/25/2017,74849104,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74849105,Online Shopping,Web
Bowflex Max Trainer,CAM52189 ION*N60*M450STIC,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74849203,Short Form,Call Center Internal
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74849205,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74849305,Electronic - Short Form,Web
Bowflex Catalog,CAM16616 DEGBFBHG,Internal,10/1/2017,10/1/2017,9/25/2017,74849405,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74849505,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74849705,Online Search,Web
Bowflex Max Trainer,CAM52189 ION*N60*M450STIC,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74849805,Short Form,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74849806,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,10/1/2017,10/1/2017,9/25/2017,74849807,Online Shopping,Web
Results Treadmill,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74849808,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74849809,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM37107 dosbidsl6,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74849810,Online Search,Web
Treadclimber,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74849811,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74849906,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74849907,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74849908,Online Shopping,Web
Bowflex Catalog,CAM49580 DODTABOOLAEDL2,TouchPoint Integrated Communications,10/1/2017,10/1/2017,9/25/2017,74850006,Online Display,Web
Bowflex Catalog,CAM16616 DEGBFBHG,Internal,10/1/2017,10/1/2017,9/25/2017,74850106,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74850206,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74850207,Online Search,Web
Treadclimber,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74850208,Online Search,Web
Bowflex Selecttech Dumbbells,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74850209,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74850306,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74850307,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74850406,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74850407,Electronic - UnSourced,Web
Treadclimber,CAM28157 SALESFOLLOWUP,Internal,,10/1/2017,9/25/2017,74850606,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,Internal,,10/1/2017,9/25/2017,74850607,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74850609,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74850611,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74850612,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74850709,Online Search,Web
Bowflex Max Trainer,CAM52193 LAFFN60*M450STIC,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74850908,Short Form,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74851009,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851209,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74851309,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851409,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74851410,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74851411,Electronic - UnSourced,Web
Treadclimber,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851412,Online Display,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74851413,Electronic - UnSourced,Web
Treadclimber,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851414,Online Shopping,Web
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851415,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851416,Online Search,Web
Bowflex Max Trainer,CAM49996 DODAOLEDL1,TouchPoint Integrated Communications,10/1/2017,10/1/2017,9/25/2017,74851417,Online Display,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851418,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74851419,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851509,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74851510,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851511,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851512,Online Shopping,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,10/1/2017,10/1/2017,9/25/2017,74851513,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851514,Online Search,Web
Bowflex HVT,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851515,Online Search,Web
Bowflex Max Trainer,CAM52188 IFC*N60*M450STIC,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851609,Short Form,Call Center Internal
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851612,Online Display,Web
Bowflex Brand,CAM39441 dosbigl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851613,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74851614,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851712,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851812,Online Search,Web
Bowflex Max Trainer,CAM52193 LAFFN60*M450STIC,TouchPoint Integrated Communications,10/1/2017,10/1/2017,9/25/2017,74851912,Short Form,Call Center Internal
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74851913,Online Search,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74852013,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74852014,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74852113,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74852114,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,10/1/2017,10/1/2017,9/25/2017,74852213,Electronic - UnSourced,Web
Bowflex Revolution,CAM37116 dosg2gsl26,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74852314,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74852414,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74852516,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74852517,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74852617,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74852618,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74852718,Online Shopping,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,10/1/2017,10/1/2017,9/25/2017,74852719,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74852720,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74852818,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74852820,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74852822,Electronic - UnSourced,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74852919,Online Search,Web
Bowflex Max Trainer,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74852920,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74852921,Electronic - UnSourced,Web
Results Treadmill,CAM39441 dosbigl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74852922,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74852923,Online Search,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74853020,Online Shopping,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74853021,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74853022,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74853120,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74853221,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74853324,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74853423,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74853523,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74853524,Online Search,Web
Bowflex Max Trainer,CAM45910 DODADCEDL3,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74853623,Online Display,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74853624,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74853924,Electronic - Short Form,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,10/1/2017,10/1/2017,9/25/2017,74854124,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74854125,Online Search,Web
Results Treadmill,CAM50818 DOSG2BXTSL1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74854127,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74854325,Electronic - UnSourced,Web
Results Treadmill,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74854525,Online Search,Web
Results Treadmill,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74854625,Electronic - UnSourced,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74854725,Online Search,Web
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,Internal,,10/1/2017,9/25/2017,74854825,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74854828,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74855030,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74855131,Online Search,Web
Treadclimber,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74855331,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74855332,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74855333,Online Shopping,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74855431,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74855632,Online Search,Web
Bowflex HVT,CAM50820 DOSG2BXTSL2,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74855731,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74855732,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74855931,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74856131,Online Shopping,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74856132,Online Search,Web
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,Internal,,10/1/2017,9/25/2017,74856231,Un-Sourced,Call Center Internal
Bowflex HVT,CAM39441 dosbigl1,TouchPoint Integrated Communications,10/1/2017,10/1/2017,9/25/2017,74856332,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74856432,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74856433,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74856532,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74856533,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74856632,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74856633,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74856732,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74856832,Online Search,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74856833,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74856933,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74857033,Electronic - UnSourced,Web
Results Elliptical,CAM47152 DOSBIESL8,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74857034,Online Search,Web
Bowflex Max Trainer,CAM45732 DOSBIESL7,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74857233,Online Search,Web
Bowflex HVT,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74857333,Online Search,Web
Results Elliptical,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74857334,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74857335,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74857533,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74857534,Electronic - UnSourced,Web
Bowflex Brand,CAM39441 dosbigl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74857535,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74857536,Electronic - UnSourced,Web
Results Treadmill,CAM50818 DOSG2BXTSL1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74857633,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37112 dosg2dsl11,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74857733,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74857734,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM52141 DLFEN60*M450STIC,TouchPoint Integrated Communications,10/1/2017,10/1/2017,9/25/2017,74857833,Short Form,Call Center Internal
Bowflex Catalog,CAM37112 dosg2dsl11,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74857834,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74857835,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74857836,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,10/1/2017,10/1/2017,9/25/2017,74857838,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74857839,Online Shopping,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74857934,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM52141 DLFEN60*M450STIC,TouchPoint Integrated Communications,10/1/2017,10/1/2017,9/25/2017,74858034,Short Form,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74858035,Electronic - UnSourced,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74858135,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM32123 dofg2tfeed1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74858136,Online Shopping,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74858137,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74858138,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74858335,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74858336,Electronic - UnSourced,Web
Schwinn,CAM16616 DEGBFBHG,Internal,,10/1/2017,9/25/2017,74858337,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74858635,Online Search,Web
Bowflex Catalog,CAM50256 DODG2EDL1,TouchPoint Integrated Communications,10/1/2017,10/1/2017,9/25/2017,74858636,Online Display,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74858637,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74858736,Online Search,Web
Bowflex Revolution,CAM39441 dosbigl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74858737,Online Search,Web
Bowflex HVT,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74858738,Online Search,Web
Bowflex HVT,CAM50802 DODG2HDL2,TouchPoint Integrated Communications,,10/1/2017,9/25/2017,74859036,Online Display,Web
